iter	Passed	Remaining
0	34	68497
1	58	58716
2	108	71964
3	149	74673
4	176	70590
5	226	75354
6	250	71197
7	270	67297
8	290	64159
9	312	62284
10	328	59328
11	357	59249
12	376	57560
13	404	57342
14	421	55814
15	438	54361
16	457	53404
17	477	52556
18	498	51964
19	521	51632
20	546	51474
21	580	52187
22	607	52233
23	628	51747
24	646	51055
25	665	50526
26	686	50148
27	706	49789
28	720	48980
29	741	48695
30	761	48388
31	792	48730
32	823	49099
33	843	48764
34	861	48348
35	885	48294
36	901	47808
37	921	47568
38	941	47351
39	962	47147
40	988	47223
41	1007	46957
42	1028	46823
43	1045	46485
44	1063	46222
45	1080	45915
46	1101	45762
47	1122	45657
48	1147	45670
49	1168	45566
50	1181	45144
51	1198	44886
52	1213	44579
53	1226	44197
54	1247	44099
55	1272	44157
56	1293	44087
57	1310	43863
58	1328	43703
59	1347	43555
60	1368	43503
61	1387	43369
62	1402	43133
63	1423	43050
64	1448	43108
65	1475	43233
66	1492	43057
67	1511	42949
68	1529	42817
69	1550	42762
70	1569	42648
71	1583	42396
72	1600	42256
73	1617	42103
74	1634	41962
75	1656	41929
76	1680	41964
77	1698	41854
78	1716	41740
79	1734	41617
80	1756	41607
81	1773	41483
82	1792	41404
83	1814	41382
84	1844	41557
85	1867	41563
86	1891	41587
87	1906	41430
88	1925	41345
89	1944	41262
90	1960	41125
91	1981	41090
92	2000	41021
93	2025	41063
94	2046	41041
95	2073	41121
96	2089	40992
97	2106	40888
98	2126	40841
99	2144	40753
100	2160	40627
101	2179	40548
102	2196	40461
103	2215	40391
104	2229	40243
105	2255	40293
106	2273	40229
107	2292	40154
108	2307	40032
109	2338	40178
110	2356	40109
111	2386	40230
112	2424	40483
113	2453	40585
114	2471	40515
115	2492	40476
116	2513	40458
117	2528	40327
118	2546	40250
119	2568	40239
120	2592	40253
121	2614	40246
122	2635	40216
123	2659	40228
124	2683	40259
125	2711	40329
126	2738	40392
127	2760	40369
128	2777	40283
129	2799	40262
130	2822	40265
131	2859	40465
132	2883	40480
133	2909	40519
134	2932	40518
135	2955	40513
136	2986	40612
137	3020	40753
138	3040	40710
139	3065	40721
140	3093	40792
141	3124	40881
142	3143	40817
143	3174	40916
144	3196	40898
145	3221	40905
146	3246	40919
147	3267	40884
148	3295	40944
149	3324	41005
150	3351	41040
151	3369	40965
152	3397	41016
153	3420	41000
154	3439	40937
155	3474	41066
156	3505	41155
157	3533	41195
158	3548	41091
159	3577	41136
160	3598	41100
161	3630	41188
162	3658	41232
163	3694	41355
164	3719	41366
165	3742	41346
166	3766	41340
167	3803	41480
168	3836	41564
169	3866	41618
170	3883	41532
171	3904	41497
172	3926	41471
173	3949	41443
174	3974	41451
175	4005	41513
176	4028	41490
177	4054	41500
178	4067	41379
179	4085	41309
180	4117	41382
181	4146	41424
182	4176	41464
183	4202	41479
184	4231	41514
185	4247	41427
186	4272	41419
187	4296	41415
188	4313	41334
189	4332	41272
190	4355	41248
191	4379	41241
192	4394	41145
193	4425	41201
194	4452	41216
195	4475	41189
196	4499	41177
197	4522	41156
198	4551	41192
199	4576	41190
200	4600	41174
201	4624	41158
202	4651	41178
203	4676	41167
204	4701	41167
205	4724	41145
206	4749	41139
207	4763	41042
208	4790	41054
209	4816	41055
210	4836	41004
211	4861	41002
212	4878	40929
213	4905	40941
214	4926	40901
215	4947	40862
216	4970	40838
217	5001	40881
218	5029	40905
219	5060	40945
220	5098	41040
221	5121	41019
222	5145	41004
223	5168	40976
224	5197	41006
225	5234	41085
226	5258	41074
227	5284	41069
228	5316	41114
229	5347	41151
230	5374	41155
231	5395	41117
232	5412	41047
233	5437	41033
234	5468	41069
235	5490	41041
236	5521	41071
237	5545	41058
238	5573	41066
239	5591	41005
240	5612	40967
241	5638	40960
242	5660	40926
243	5680	40883
244	5713	40928
245	5745	40962
246	5769	40948
247	5797	40953
248	5822	40942
249	5842	40898
250	5861	40844
251	5881	40798
252	5905	40776
253	5930	40768
254	5963	40811
255	5987	40788
256	6017	40809
257	6039	40778
258	6066	40779
259	6088	40747
260	6121	40786
261	6152	40811
262	6175	40789
263	6203	40792
264	6238	40845
265	6270	40873
266	6297	40871
267	6327	40893
268	6360	40930
269	6397	40992
270	6435	41056
271	6466	41083
272	6489	41050
273	6521	41081
274	6548	41079
275	6577	41084
276	6603	41072
277	6637	41112
278	6671	41155
279	6701	41167
280	6728	41162
281	6756	41161
282	6787	41182
283	6828	41258
284	6837	41145
285	6866	41152
286	6893	41146
287	6906	41056
288	6937	41073
289	6962	41053
290	6990	41055
291	7010	41005
292	7040	41018
293	7059	40965
294	7084	40945
295	7106	40911
296	7113	40786
297	7143	40800
298	7165	40766
299	7198	40792
300	7231	40816
301	7276	40910
302	7322	41009
303	7362	41075
304	7388	41063
305	7431	41143
306	7456	41122
307	7484	41117
308	7512	41114
309	7547	41148
310	7569	41110
311	7598	41111
312	7623	41091
313	7648	41065
314	7677	41069
315	7683	40946
316	7732	41054
317	7783	41168
318	7820	41209
319	7848	41202
320	7857	41096
321	7878	41057
322	7907	41055
323	7938	41063
324	7971	41082
325	8006	41113
326	8048	41178
327	8090	41241
328	8110	41193
329	8133	41161
330	8161	41154
331	8192	41161
332	8216	41131
333	8246	41131
334	8264	41075
335	8283	41025
336	8299	40956
337	8319	40907
338	8355	40939
339	8377	40901
340	8398	40861
341	8424	40839
342	8452	40834
343	8475	40802
344	8504	40798
345	8533	40792
346	8564	40798
347	8595	40804
348	8621	40783
349	8652	40788
350	8675	40759
351	8701	40738
352	8729	40730
353	8764	40753
354	8787	40717
355	8815	40710
356	8842	40696
357	8866	40668
358	8893	40652
359	8916	40619
360	8943	40602
361	8971	40592
362	8996	40571
363	9016	40523
364	9050	40539
365	9089	40578
366	9125	40604
367	9165	40648
368	9210	40708
369	9244	40725
370	9293	40806
371	9345	40899
372	9396	40986
373	9420	40956
374	9445	40931
375	9468	40896
376	9508	40933
377	9541	40943
378	9567	40922
379	9600	40929
380	9624	40897
381	9644	40848
382	9670	40826
383	9691	40785
384	9726	40802
385	9771	40859
386	9797	40833
387	9833	40854
388	9861	40841
389	9890	40831
390	9926	40847
391	9949	40812
392	9967	40758
393	9997	40751
394	10023	40727
395	10057	40736
396	10081	40707
397	10103	40667
398	10137	40675
399	10162	40648
400	10180	40596
401	10203	40559
402	10222	40507
403	10247	40483
404	10270	40447
405	10292	40409
406	10321	40399
407	10342	40357
408	10362	40311
409	10385	40277
410	10408	40240
411	10429	40199
412	10453	40166
413	10480	40150
414	10511	40146
415	10532	40104
416	10562	40096
417	10588	40074
418	10618	40066
419	10642	40034
420	10652	39953
421	10668	39892
422	10692	39862
423	10718	39839
424	10756	39862
425	10788	39860
426	10811	39827
427	10840	39815
428	10871	39810
429	10896	39786
430	10921	39759
431	10941	39713
432	10971	39706
433	11002	39700
434	11027	39673
435	11055	39657
436	11082	39637
437	11111	39626
438	11142	39619
439	11171	39607
440	11190	39560
441	11217	39542
442	11241	39508
443	11254	39440
444	11285	39436
445	11307	39397
